Case ID,Actual,Prefix Length,Prediction,Prediction Probability
204475_6,1,6,1,0.5111793109715635
204553_6,0,6,1,0.5341454356147909
204592_6,1,6,1,0.5415806031913593
204721_6,0,6,0,0.5052390743815608
204838_6,0,6,1,0.5162772850337559
205104_6,0,6,1,0.5591004588480719
205179_6,0,6,0,0.555401652991992
205400_6,0,6,0,0.5735564484246545
205586_6,0,6,1,0.5796315906866085
205794_6,0,6,0,0.552314182596521
206255_6,0,6,0,0.5369632330899011
206270_6,1,6,1,0.6089504259362156
206291_6,1,6,1,0.5910596601682255
206342_6,0,6,1,0.5140157712461861
206441_6,0,6,0,0.5311059711749508
206588_6,0,6,0,0.5263285686112634
206627_6,1,6,1,0.5070165906701457
206736_6,0,6,0,0.5885231283156596
206754_6,0,6,0,0.5699565909733326
207014_6,1,6,1,0.5723490231488284
207029_6,1,6,1,0.532506022104906
207302_6,1,6,0,0.5203248470851436
207392_6,1,6,0,0.512584914287985
208028_6,1,6,1,0.6001400794227579
208034_6,0,6,1,0.6038044407132381
208124_6,1,6,0,0.5445494859846849
208379_6,0,6,1,0.6195606193601176
208520_6,1,6,0,0.5272633133942758
209000_6,1,6,0,0.5825742221019379
209012_6,0,6,1,0.5368186503384466
209260_6,1,6,1,0.5718953217211877
209278_6,0,6,0,0.5300358624940976
209505_6,1,6,0,0.5050918246258
209766_6,1,6,0,0.5014137951794709
210119_6,1,6,0,0.5482287928242346
210200_6,1,6,1,0.5012538494374933
210251_6,1,6,1,0.5221616962362484
210329_6,1,6,1,0.5285207584726522
210494_6,0,6,1,0.5277457059285859
210632_6,0,6,1,0.5512582022694399
210890_6,0,6,1,0.533283597276099
211086_6,0,6,0,0.5795301850597716
211706_6,1,6,1,0.563726304427389
211883_6,0,6,1,0.5009110012001097
211946_6,1,6,1,0.5636057544070491
212455_6,1,6,1,0.5023135996894611
212590_6,0,6,1,0.617952237563245
212851_6,1,6,0,0.5456823884549622
213159_6,0,6,0,0.5801347203746314
213930_6,1,6,0,0.5013990091479184
