Case ID,Actual,Prefix Length,Prediction,Prediction Probability
204850_19,0,19,0,0.8582939379352961
205059_19,1,19,1,0.6023962672004995
205202_19,1,19,1,0.9338326772282248
205259_19,0,19,0,0.5350564034157028
205310_19,0,19,1,0.7769786124038608
205514_19,0,19,0,0.9999992618006174
205733_19,1,19,1,0.6510625565626273
205791_19,0,19,0,0.9812282280257512
205864_19,0,19,0,0.9999705118738258
206053_19,1,19,0,0.6985355337317705
206147_19,0,19,0,0.5265247739933102
206300_19,1,19,1,0.6810454862429456
206342_19,0,19,0,0.510385042466647
206348_19,0,19,0,0.7254910719415202
206360_19,1,19,0,0.6290827691723886
206546_19,1,19,0,0.9713458166840065
206615_19,1,19,1,0.6024081869691312
206751_19,0,19,1,0.9999998973186476
206754_19,0,19,1,0.5128802477641785
206937_19,1,19,1,0.6341822017118038
207215_19,1,19,1,0.8014331414991435
207440_19,1,19,1,0.9999999963425441
207542_19,0,19,1,0.9999998556703484
207852_19,1,19,1,0.9999999997851619
207867_19,0,19,1,0.97647437561445
207966_19,0,19,0,0.9734258980889449
208064_19,0,19,1,0.9999909045206203
208190_19,1,19,1,0.9999670560032441
208289_19,0,19,1,0.7677834692376203
208556_19,1,19,1,0.8991675377883063
208805_19,0,19,1,0.5878880292931713
209006_19,0,19,0,0.5325920055437083
209087_19,0,19,1,0.9984272447271209
209341_19,0,19,0,0.9999967806453421
210224_19,0,19,0,0.9812117855766381
210329_19,1,19,1,0.6785858842241594
210386_19,1,19,1,0.9999982654337687
210422_19,0,19,1,0.9854343762553474
210497_19,1,19,0,0.9044471424510725
210668_19,0,19,1,0.8189724527093575
210827_19,1,19,0,0.5111420757789984
211059_19,0,19,0,0.9999204772586848
211176_19,0,19,0,0.977480751876488
211263_19,1,19,0,0.623345244299186
211417_19,1,19,0,0.6154894707908387
211763_19,1,19,1,0.8511989811648432
211952_19,1,19,1,0.9696635229063038
213144_19,1,19,1,0.5705645580575941
213468_19,1,19,1,0.668401557953072
214085_19,1,19,1,0.9406075472924591
