Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability
204484;0;1;0;0.5230416266981354;1.0;1.0;1.0
204718;1;1;0;0.5230003296915602;1.0;1.0;1.0
204969;0;1;0;0.5468110267037964;1.0;1.0;1.0
206546;1;1;0;0.5192891209672311;1.0;1.0;1.0
208619;1;1;0;0.5188070394341253;1.0;1.0;1.0
208871;0;1;0;0.5475848147935919;1.0;1.0;1.0
209652;0;1;0;0.5501871286496873;1.0;1.0;1.0
214226;1;1;0;0.5413899789826784;1.0;1.0;1.0
204541_9;1;9;1;0.5487661945677647;1.0;1.0;1.0
204604_3;0;3;0;0.5869611397332892;1.0;1.0;1.0
204607_2;1;2;1;0.5020108518606452;1.0;1.0;1.0
204646_6;1;6;0;0.5146616786416038;1.0;1.0;1.0
204799_10;0;10;1;0.5305574886290758;1.0;1.0;1.0
205005_9;1;9;1;0.5321950581513172;1.0;1.0;1.0
205062_11;0;11;0;0.5690368361345728;1.0;1.0;1.0
205062_7;0;7;0;0.571807104529104;1.0;1.0;1.0
205238_2;0;2;0;0.5253634248743595;1.0;1.0;1.0
205268_12;1;12;1;0.5437075454209231;1.0;1.0;1.0
205343_5;0;5;0;0.5217092834248936;1.0;1.0;1.0
205388_3;0;3;0;0.5200731709147683;1.0;1.0;1.0
205514_5;0;5;0;0.5243394699099171;1.0;1.0;1.0
205640_6;1;6;1;0.5253919545157784;1.0;1.0;1.0
205736_12;0;12;1;0.544234940112769;1.0;1.0;1.0
205754_13;0;13;1;0.5364861323174452;1.0;1.0;1.0
205837_8;1;8;0;0.5598716894345452;1.0;1.0;1.0
205882_5;1;5;0;0.5201686591252179;1.0;1.0;1.0
205960_8;0;8;1;0.5439592167998117;1.0;1.0;1.0
206050_14;0;14;1;0.5393755226633105;1.0;1.0;1.0
206105_2;0;2;0;0.50813870204471;1.0;1.0;1.0
206198_5;1;5;0;0.5611314574138508;1.0;1.0;1.0
206216_2;0;2;0;0.5055319184128179;1.0;1.0;1.0
206255_7;0;7;0;0.5409431725721273;1.0;1.0;1.0
206258_11;1;11;1;0.5331675262980933;1.0;1.0;1.0
206513_8;1;8;0;0.5042707824764845;1.0;1.0;1.0
206546_13;1;13;0;0.5803014850843373;1.0;1.0;1.0
206576_3;0;3;0;0.500354415808464;1.0;1.0;1.0
206745_6;0;6;1;0.5024904309486065;1.0;1.0;1.0
206925_2;0;2;0;0.5335683187818365;1.0;1.0;1.0
207023_14;1;14;1;0.5985428970311671;1.0;1.0;1.0
207119_12;0;12;1;0.5471432549275571;1.0;1.0;1.0
207140_3;1;3;0;0.5305765723496021;1.0;1.0;1.0
207467_11;0;11;1;0.569755406198448;1.0;1.0;1.0
