Case ID,Actual,Prefix Length,Prediction,Prediction Probability
204808,0,1,1,0.5382115957988886
205556,0,1,0,0.5023991144037494
206372,0,1,1,0.5236282910914649
209559,0,1,0,0.5122775875865173
210791,1,1,1,0.5322727313248603
210794,1,1,1,0.5325805803251743
211110,1,1,0,0.5206642437783353
211847,1,1,1,0.5118865252677947
204514_2,0,2,1,0.5473535450823727
204586_14,0,14,1,0.560463185069317
204586_3,0,3,1,0.5372064078260549
204604_3,0,3,0,0.5457834061148986
204613_3,0,3,1,0.5334776800830587
204667_12,1,12,0,0.5247409084621246
204709_8,1,8,1,0.5321772586271081
204730_6,0,6,1,0.5321937452779003
204829_6,0,6,0,0.5057661017046924
204841_13,1,13,1,0.5264928542454617
204859_11,1,11,0,0.5354358811245565
204909_11,0,11,1,0.5662851504498172
204963_15,1,15,1,0.5462650518310886
205029_5,0,5,1,0.5062687327456401
205059_15,1,15,1,0.6323252405642269
205110_10,0,10,1,0.5496729157273491
205298_13,0,13,1,0.5983338591248436
205313_12,1,12,1,0.5936171450174569
205322_2,1,2,1,0.516405252838085
205349_13,0,13,0,0.5588513995232093
205403_6,1,6,1,0.523947529515736
205565_10,1,10,1,0.6022821764574771
205661_8,1,8,0,0.5027062602796999
205721_3,1,3,1,0.5248930482344041
205727_10,0,10,1,0.5613477638931865
205742_3,1,3,1,0.5256565662767485
205803_6,0,6,1,0.5289171093677905
205849_9,0,9,0,0.5140454999225235
205897_5,0,5,1,0.5276776944028692
205924_15,0,15,1,0.5702449093147742
206050_4,0,4,1,0.5376605378266376
206147_9,0,9,1,0.5729170663699935
206258_4,1,4,0,0.5044319779947821
206261_15,1,15,1,0.5830145525990403
206279_5,1,5,1,0.5382119478217057
206285_9,1,9,1,0.5448380111833383
206351_12,1,12,1,0.5491259401909061
206543_13,1,13,1,0.6060873490384034
206594_14,1,14,1,0.6787710932513124
206672_6,0,6,0,0.5075397497373113
206733_11,1,11,0,0.5068076794167772
206733_12,1,12,1,0.5295833562454384
206751_9,0,9,0,0.5298811562202409
206778_5,0,5,1,0.5140111741645823
206862_4,0,4,0,0.5011998195104344
206880_7,0,7,1,0.5110898850587423
206898_14,1,14,1,0.5644929120440226
206904_13,1,13,1,0.6004346406627425
206910_14,1,14,1,0.6370884956254654
206910_9,1,9,1,0.5812710768210828
206937_7,1,7,0,0.5251678516716292
207044_14,0,14,1,0.5076563147126193
207116_12,0,12,1,0.5202011228604678
207116_7,0,7,1,0.5029329185662634
207137_10,0,10,1,0.5942809453443717
207137_5,0,5,1,0.5045543964181592
207260_9,1,9,1,0.5396663800629447
207413_2,1,2,1,0.5150469351883256
207467_2,0,2,1,0.5192789650027025
207485_11,0,11,1,0.5138854631138053
207527_9,0,9,1,0.5962088395778447
207542_11,0,11,1,0.6048317206987761
207542_7,0,7,1,0.5677284912232541
207632_8,0,8,1,0.5948152545292605
207798_8,0,8,1,0.5358402719264194
207882_13,0,13,1,0.5322004847989589
208157_4,1,4,1,0.5311715128223966
208184_7,1,7,1,0.5862598502675451
208241_12,0,12,1,0.5912129391728232
208253_11,0,11,1,0.5480239579920236
208337_10,1,10,0,0.5299573568015131
208451_9,1,9,0,0.5335626002750775
208601_2,1,2,1,0.5496349405457127
208790_5,1,5,0,0.5487631333964884
209012_4,0,4,0,0.5076303382173678
209206_5,1,5,1,0.5039192833425414
209404_12,0,12,1,0.604933909389974
209422_3,1,3,1,0.510884276110832
209434_4,1,4,0,0.5252224750336015
209733_7,1,7,1,0.5786235012005738
209733_8,1,8,1,0.5840190532371784
209742_4,1,4,1,0.5184821933532162
209751_10,1,10,1,0.610759054647317
209751_13,1,13,1,0.615132881074311
210071_13,0,13,1,0.5852743438712269
210134_6,1,6,1,0.5270597215819305
210269_8,0,8,1,0.5353236614926551
210476_6,1,6,1,0.5709253545600482
210563_15,0,15,1,0.5852308992537854
210566_11,1,11,1,0.6393821588371109
210815_3,1,3,0,0.5508980103841987
210872_4,0,4,1,0.5544842880571826
210890_10,0,10,1,0.6260546624818404
211059_12,0,12,0,0.5477288262935633
211086_15,0,15,1,0.5499262872659523
211155_2,0,2,1,0.5048384813361928
211263_7,1,7,0,0.5112644162173059
211323_14,1,14,1,0.6321978515435367
211444_2,1,2,1,0.5002966299579544
211543_14,0,14,1,0.5543524434586485
211817_3,0,3,1,0.518362385163372
211871_6,1,6,1,0.5298556785461781
211928_15,0,15,1,0.5969365795051669
212512_14,0,14,1,0.6371667028277568
212554_7,0,7,1,0.6007729342033878
212560_10,1,10,1,0.6089165146628792
212560_15,1,15,1,0.6462655083085908
212773_8,0,8,0,0.502175002950826
213234_8,1,8,0,0.5337246893476776
213258_11,1,11,1,0.5247305308477931
213792_2,0,2,1,0.5105464636506777
214250_5,1,5,1,0.5268793218942628
