Case ID,Actual,Prefix Length,Prediction,Prediction Probability
204481_12,0,12,0,0.99991339525831
204565_12,0,12,1,0.9961780595446962
204640_12,0,12,0,1.0
205229_12,1,12,0,1.0
205508_12,1,12,0,1.0
205846_12,0,12,0,1.0
205849_12,0,12,0,1.0
205954_12,1,12,1,1.0
206059_12,0,12,0,0.9999933876482939
206086_12,0,12,0,0.9999995244203314
206132_12,0,12,0,0.9313182306319362
206336_12,0,12,1,1.0
206480_12,1,12,0,1.0
206606_12,0,12,0,1.0
206763_12,0,12,1,1.0
206937_12,1,12,0,1.0
207143_12,0,12,0,1.0
207843_12,1,12,0,1.0
208049_12,0,12,0,1.0
208244_12,1,12,0,0.9999999999928377
208277_12,1,12,0,0.9999999999994316
208499_12,0,12,0,1.0
208508_12,0,12,0,1.0
208607_12,1,12,1,1.0
208730_12,1,12,0,0.999967400507674
208832_12,1,12,0,1.0
209302_12,1,12,1,1.0
209520_12,0,12,0,0.999999998675321
210365_12,1,12,0,1.0
210563_12,0,12,0,1.0
210659_12,1,12,0,1.0
210758_12,1,12,0,0.9999999999998863
210830_12,1,12,0,1.0
210966_12,0,12,0,1.0
211245_12,0,12,0,1.0
211588_12,1,12,1,1.0
211652_12,1,12,0,1.0
211847_12,1,12,0,0.9586491005969856
211850_12,1,12,0,1.0
211928_12,0,12,0,1.0
212398_12,1,12,0,1.0
212698_12,0,12,0,1.0
212704_12,1,12,0,1.0
212845_12,0,12,0,1.0
212983_12,0,12,0,1.0
213001_12,1,12,1,1.0
213052_12,1,12,0,1.0
213459_12,1,12,0,1.0
213705_12,0,12,0,1.0
213726_12,0,12,0,1.0
