Case ID,Actual,Prefix Length,Prediction,Prediction Probability
205433,0,1,0,0.6197286012534707
206880,0,1,0,0.6246223650243334
207014,1,1,0,0.6231606925500667
208157,1,1,0,0.5846982149310337
208613,1,1,0,0.5615290945666743
209090,0,1,0,0.6259858368777202
210857,0,1,0,0.5608410331524474
213906,1,1,0,0.6171060669811855
204565_11,0,11,1,0.6462156065643517
204667_13,1,13,0,0.6980263405635885
204703_12,1,12,0,0.6523915774708703
204724_7,0,7,0,0.6471888559821959
204829_12,0,12,0,0.6094866011910012
204829_3,0,3,0,0.5831850431857151
204847_8,0,8,0,0.6455904721109267
204993_5,0,5,0,0.6291390931233797
205026_3,0,3,0,0.6248557528298181
205086_12,0,12,1,0.583897282847128
205104_13,0,13,1,0.6407581750224102
205143_7,0,7,0,0.6568916765350281
205268_12,1,12,1,0.5949502580324799
205385_13,1,13,0,0.6503696105461839
205601_4,0,4,0,0.6322157813097533
205676_4,0,4,0,0.6006818163464467
205819_8,0,8,0,0.6019544926975015
205873_8,1,8,0,0.6187122168171346
205918_10,1,10,1,0.5783126448739384
205960_8,0,8,0,0.5765355105861006
205984_9,0,9,1,0.5341053644650263
206053_8,1,8,0,0.6239169622467403
206123_4,1,4,0,0.5931317070055017
206201_14,0,14,0,0.6593463125283505
206219_2,0,2,0,0.5884551718067643
206222_6,0,6,0,0.597487610126173
206351_10,1,10,0,0.6149306699485647
206513_7,1,7,0,0.5815368860753692
206576_10,0,10,1,0.546472023027057
206633_11,1,11,0,0.5760492648731981
206645_3,1,3,0,0.5576080168324313
206745_10,0,10,1,0.5296169681506757
206811_5,1,5,0,0.6334837378571178
206838_12,0,12,0,0.6191273042138385
206865_14,1,14,1,0.6817024434904309
206907_9,1,9,0,0.5015306700654372
206934_8,0,8,0,0.5395462287204505
207029_7,1,7,0,0.5735324118604554
207266_4,0,4,0,0.6144282047999183
207328_9,1,9,0,0.6598739962930474
207359_5,0,5,0,0.6469256590215116
207392_14,1,14,1,0.5854235447858167
207506_14,1,14,1,0.5327733848909125
207572_5,0,5,0,0.6044271770660741
207768_7,0,7,0,0.6079360251144066
207798_6,0,6,0,0.6225449529559326
207810_7,0,7,0,0.6059398398507525
207852_8,1,8,0,0.6159140886899042
207966_14,0,14,1,0.5738009834417237
207993_2,0,2,0,0.619286478564441
207993_4,0,4,0,0.6139834859742205
207993_5,0,5,0,0.628107390044739
208052_13,1,13,1,0.6929083641407984
208103_6,1,6,0,0.6019384302169175
208172_2,1,2,0,0.5846439141970694
208349_10,1,10,0,0.5361771990423249
208418_2,0,2,0,0.5739653175420328
208577_6,1,6,0,0.5896280315500356
208601_8,1,8,0,0.656242625568444
208613_5,1,5,0,0.6495567309162175
209188_11,1,11,1,0.595551402144913
209257_7,1,7,0,0.5692832973474877
209269_14,0,14,1,0.575246829637538
209371_3,0,3,0,0.6121044021596859
209799_13,0,13,0,0.6610754376098545
209901_13,1,13,0,0.6937053653687107
210008_2,1,2,0,0.6100914890615537
210134_5,1,5,0,0.5930677777521622
210185_14,0,14,1,0.6078636820197312
210197_2,1,2,0,0.5949157691385943
210566_14,1,14,1,0.7207387185241708
210581_6,0,6,0,0.5991531246591373
210593_3,1,3,0,0.5694946206325786
210671_6,1,6,0,0.6028223974084856
210719_3,0,3,0,0.5716296042978111
210794_4,1,4,0,0.6332463395098181
210866_10,0,10,0,0.664090973218806
210866_11,0,11,0,0.6387603226949743
210866_6,0,6,0,0.6485392675928721
211002_4,1,4,0,0.6262085921267163
211011_3,1,3,0,0.6263580092225707
211038_11,1,11,1,0.5907657392804174
211044_12,1,12,0,0.57276907623486
211275_13,0,13,1,0.5153884301307088
211323_5,1,5,0,0.6365510965375715
211408_2,1,2,0,0.6206663018512684
211411_6,1,6,0,0.591652773755492
211507_4,1,4,0,0.6106942420448722
211528_10,0,10,0,0.5504559733585154
211543_13,0,13,0,0.5646153896072599
211576_9,0,9,1,0.5014206132432126
211907_12,0,12,0,0.5573533211176179
212009_9,0,9,0,0.5991979699082115
212043_12,1,12,1,0.6090893472955905
212109_9,1,9,0,0.6273776420838622
212118_11,0,11,0,0.6328158267009336
212274_10,1,10,0,0.6400519345102048
212590_9,0,9,1,0.5464260991585255
212593_11,1,11,0,0.5773721851124317
212704_7,1,7,0,0.5823749896895389
213495_11,0,11,1,0.5918503212456314
213822_3,1,3,0,0.6347059721406768
214085_9,1,9,0,0.6010793913192239
214142_2,0,2,0,0.606700596395279
