Case ID,Actual,Prefix Length,Prediction,Prediction Probability
204553_17,0,17,1,1.0
204685_17,0,17,1,1.0
204841_17,1,17,1,1.0
205110_17,0,17,0,1.0
205262_17,1,17,0,1.0
205274_17,0,17,0,1.0
205316_17,1,17,0,1.0
205421_17,1,17,1,1.0
205846_17,0,17,1,1.0
206105_17,0,17,1,1.0
206297_17,0,17,0,1.0
206351_17,1,17,0,1.0
206372_17,0,17,1,1.0
206480_17,1,17,1,1.0
206519_17,1,17,1,1.0
206615_17,1,17,1,1.0
206633_17,1,17,1,1.0
206934_17,0,17,0,1.0
207278_17,1,17,1,1.0
207726_17,0,17,1,1.0
207783_17,1,17,1,1.0
207864_17,0,17,1,1.0
207867_17,0,17,1,1.0
207945_17,0,17,1,1.0
208244_17,1,17,0,1.0
208283_17,0,17,1,1.0
208532_17,1,17,1,1.0
208730_17,1,17,1,1.0
208772_17,0,17,0,1.0
208793_17,1,17,1,1.0
209105_17,1,17,0,1.0
209502_17,1,17,1,1.0
210086_17,0,17,0,1.0
210365_17,1,17,1,1.0
210416_17,0,17,0,1.0
210521_17,0,17,1,1.0
211116_17,1,17,0,1.0
211417_17,1,17,1,1.0
211507_17,1,17,0,1.0
211724_17,0,17,0,1.0
211871_17,1,17,0,1.0
211928_17,0,17,1,1.0
212043_17,1,17,1,1.0
212295_17,1,17,0,1.0
212578_17,0,17,0,0.9998277
212737_17,0,17,0,1.0
212773_17,0,17,1,1.0
213159_17,0,17,1,1.0
214061_17,0,17,0,1.0
214268_17,1,17,1,1.0
