Case ID,Actual,Prefix Length,Prediction,Prediction Probability
204544_10,0,10,0,0.89572245
204766_10,1,10,1,0.8194508
204841_10,1,10,1,0.99561864
204981_10,0,10,1,0.92263657
205059_10,1,10,0,0.9950643
205104_10,0,10,0,0.95727676
205179_10,0,10,0,0.9391001
205226_10,1,10,0,0.587499
205532_10,1,10,0,0.80014014
205643_10,0,10,0,0.99923086
205661_10,1,10,0,0.57776535
205969_10,0,10,0,0.8092133
205984_10,0,10,0,0.600196
206255_10,0,10,0,0.66645795
206348_10,0,10,1,0.9932152
206438_10,1,10,1,0.7134878
206510_10,1,10,1,0.71678895
206606_10,0,10,1,0.8576188
206633_10,1,10,1,0.8409639
206669_10,0,10,0,0.9687445
206672_10,0,10,0,0.99222463
207143_10,0,10,0,0.9531718
207212_10,0,10,1,0.5892317
207215_10,1,10,1,0.7287799
207783_10,1,10,1,0.817315
207894_10,1,10,1,0.6828614
207912_10,1,10,1,0.98861164
208136_10,0,10,0,0.99944544
208772_10,0,10,1,0.96856904
208790_10,1,10,0,0.9827232
208967_10,1,10,1,0.99990225
209221_10,1,10,0,0.7636164
209260_10,1,10,1,0.8524451
209380_10,0,10,1,0.9286398
209461_10,0,10,0,0.85298556
209835_10,1,10,0,0.97740835
209901_10,1,10,0,0.9960628
210182_10,0,10,0,0.89838123
210617_10,0,10,1,0.8650274
210668_10,0,10,0,0.82417035
210923_10,1,10,0,0.85898244
211125_10,1,10,0,0.85416806
211360_10,0,10,0,0.7772407
212109_10,1,10,0,0.99706256
212398_10,1,10,0,0.5929823
212428_10,0,10,1,0.94948286
212479_10,0,10,0,0.99755126
213085_10,0,10,0,0.8076161
213609_10,1,10,0,0.97872514
213624_10,1,10,1,0.973182
