Case ID,Actual,Prefix Length,Prediction,Prediction Probability
Case101_8,0,8,0,0.8462970167958634
Case103_8,1,8,1,0.9881719432438846
Case10_8,1,8,1,0.9869803719463972
Case110_8,1,8,1,0.976969048114667
Case111_8,1,8,0,0.7321395470562084
Case11_8,1,8,1,0.9271042737315948
Case127_8,1,8,1,0.9988448877303739
Case12_8,0,8,0,0.9961606469222696
Case135_8,1,8,1,0.9999989451267229
Case174_8,1,8,1,0.6933212487724675
Case185_8,0,8,0,0.9982000812758451
Case192_8,0,8,0,0.9862729817782994
Case195_8,0,8,0,0.9835148169273773
Case199_8,1,8,1,0.9873457992327533
Case207_8,1,8,1,0.9997644820607899
Case208_8,1,8,1,0.999996221025408
Case210_8,0,8,0,0.7835119086837932
Case211_8,0,8,0,0.9999150789050539
Case215_8,0,8,0,0.9999995287362076
Case218_8,0,8,0,0.9999998941000594
Case223_8,0,8,0,0.9164389482886968
Case229_8,0,8,0,0.9957523435052632
Case230_8,1,8,1,0.8928089451693091
Case240_8,1,8,1,0.9764177054836336
Case245_8,1,8,1,0.9999940435781851
Case249_8,1,8,1,0.8648333050590409
Case251_8,0,8,0,0.9919422553035894
Case252_8,0,8,0,0.9999895004343096
Case256_8,1,8,1,0.9964296469311362
Case258_8,1,8,1,0.9565518463153907
Case259_8,1,8,1,0.9998950837850282
Case260_8,1,8,1,0.9179439302868272
Case261_8,0,8,0,0.9629580519214836
Case263_8,0,8,0,0.994506575335593
Case264_8,1,8,1,0.6624571918170066
Case265_8,0,8,0,0.9977554472868306
Case267_8,1,8,1,0.9999964857552092
Case44_8,1,8,1,0.9999996736243685
Case46_8,0,8,0,0.9270859986471575
Case4_8,0,8,0,0.8744012177938841
Case52_8,0,8,0,0.92875548998335
Case53_8,1,8,1,0.6305771606272887
Case60_8,0,8,1,0.9981360112286657
Case73_8,1,8,1,0.9994361496855686
Case78_8,1,8,1,0.9557252128179257
Case83_8,0,8,1,0.9974456912301479
Case84_8,0,8,0,0.9999986649086936
Case86_8,0,8,1,0.9996652184681012
Case89_8,0,8,0,0.9676202179289243
Case96_8,0,8,1,0.9827250600685656
