Case ID,Actual,Prefix Length,Prediction,Prediction Probability
Case101_13,0,13,0,0.9319894563060301
Case111_13,1,13,1,0.9954758001083881
Case127_13,1,13,1,0.9976165733042806
Case12_13,0,13,0,0.9958291058280309
Case135_13,1,13,1,0.9975924758870074
Case178_13,0,13,0,0.9973279729616875
Case17_13,1,13,1,0.9975102207389122
Case188_13,1,13,1,0.9963415948352967
Case18_13,1,13,1,0.9982759173849076
Case192_13,0,13,0,0.9931542819541832
Case194_13,1,13,1,0.9980542556797024
Case195_13,0,13,0,0.9962566794198664
Case201_13,1,13,1,0.9997845993531403
Case20_13,1,13,1,0.9963478655984035
Case210_13,0,13,0,0.9911924186169727
Case21_13,1,13,1,0.9981180983514402
Case223_13,0,13,0,0.9865360602054605
Case225_13,1,13,1,0.9976285197475614
Case245_13,1,13,1,0.9972065668666198
Case249_13,1,13,1,0.9921365122107612
Case250_13,0,13,0,0.9986022896422396
Case251_13,0,13,0,0.9960796442808103
Case256_13,1,13,1,0.9980301012762651
Case263_13,0,13,0,0.9952671904504876
Case265_13,0,13,0,0.9970171809844426
Case266_13,1,13,1,0.9978837237741487
Case267_13,1,13,1,0.9958251196423372
Case269_13,0,13,0,0.9911576761423546
Case273_13,0,13,0,0.99667769042797
Case274_13,0,13,0,0.9950094275051736
Case277_13,1,13,1,0.9975616838861361
Case27_13,0,13,0,0.9911423437988337
Case34_13,0,13,0,0.9943267880105722
Case37_13,1,13,1,0.9936005487063276
Case38_13,1,13,1,0.9972569157756337
Case39_13,0,13,0,0.9918217709863533
Case3_13,0,13,0,0.9918937126298542
Case41_13,0,13,0,0.9929419834220161
Case55_13,1,13,1,0.9966266331908468
Case60_13,0,13,1,0.964926876543414
Case61_13,1,13,1,0.9939484625597835
Case67_13,0,13,0,0.9898770628341816
Case6_13,1,13,1,0.9944554062624975
Case75_13,1,13,1,0.9912108472138729
Case78_13,1,13,1,0.9962395798936363
Case83_13,0,13,1,0.8550983278811183
Case84_13,0,13,0,0.9953002789062705
Case89_13,0,13,0,0.9930644274740051
Case90_13,0,13,0,0.9927646948047201
Case95_13,1,13,1,0.9993481191066023
