Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability
Case103_9;1;9;1;0.9511769741093696;1.0;1.0;1.0
Case104;0;1;1;0.6715102511006412;1.0;1.0;1.0
Case104_5;0;5;1;0.6852132150854066;1.0;1.0;1.0
Case10_10;1;10;1;0.9999999904849358;1.0;1.0;1.0
Case10_3;1;3;1;0.9399397224568122;1.0;1.0;1.0
Case10_9;1;9;1;0.9999999361350224;1.0;1.0;1.0
Case114_5;1;5;1;0.7189332475705118;1.0;1.0;1.0
Case115_3;1;3;1;0.7946405281697424;1.0;1.0;1.0
Case125_5;0;5;0;0.8211515742961002;1.0;1.0;1.0
Case127_11;1;11;1;0.9999822724420576;1.0;1.0;1.0
Case12_14;0;14;0;0.9999953651296408;1.0;1.0;1.0
Case12_8;0;8;0;0.999997183764818;1.0;1.0;1.0
Case12_9;0;9;0;0.9999998508523724;1.0;1.0;1.0
Case145_5;0;5;0;0.9999974696341128;1.0;1.0;1.0
Case146_2;0;2;0;0.9999903303090196;1.0;1.0;1.0
Case148;0;1;0;0.9999999998183592;1.0;1.0;1.0
Case163_6;1;6;1;0.9999952158440548;1.0;1.0;1.0
Case174_8;1;8;1;0.9823718301153426;1.0;1.0;1.0
Case178;0;1;0;0.618379262914379;1.0;1.0;1.0
Case178_11;0;11;0;0.9755782359322446;1.0;1.0;1.0
Case178_13;0;13;0;0.990440588343596;1.0;1.0;1.0
Case17_9;1;9;1;0.9999999999980618;1.0;1.0;1.0
Case185_2;0;2;0;0.7541025682614405;1.0;1.0;1.0
Case188_12;1;12;1;0.9999999999999408;1.0;1.0;1.0
Case188_14;1;14;1;0.9999999999999764;1.0;1.0;1.0
Case192_9;0;9;0;0.9999794705858844;1.0;1.0;1.0
Case194_4;1;4;1;0.9999972046069614;1.0;1.0;1.0
Case195_10;0;10;0;0.9997560943286125;1.0;1.0;1.0
Case196_2;1;2;1;0.7419380334562833;1.0;1.0;1.0
Case198_2;1;2;1;0.96189652403681;1.0;1.0;1.0
Case199_7;1;7;1;0.9999689875232656;1.0;1.0;1.0
Case19_7;1;7;1;0.9980905021779344;1.0;1.0;1.0
Case207;1;1;1;0.8389648812058431;1.0;1.0;1.0
Case208_3;1;3;1;0.9667932693223548;1.0;1.0;1.0
Case209_12;0;12;0;0.994540597198141;1.0;1.0;1.0
Case211_7;0;7;0;0.9999935770690668;1.0;1.0;1.0
Case215_9;0;9;0;0.999976329994864;1.0;1.0;1.0
Case21_6;1;6;1;0.9999759797051836;1.0;1.0;1.0
Case223_14;0;14;0;0.8251604740971727;1.0;1.0;1.0
Case225_11;1;11;1;0.999999089576787;1.0;1.0;1.0
Case225_13;1;13;1;0.9999999833255409;1.0;1.0;1.0
