Case ID,Actual,Prefix Length,Prediction,Prediction Probability
Case102_6,1,6,0,0.9999999999912745
Case103_6,1,6,0,0.9999999999982379
Case109_6,1,6,1,1.0
Case10_6,1,6,1,0.6910874013856746
Case115_6,1,6,0,0.8928416155855406
Case119_6,0,6,1,0.9999999997715179
Case11_6,1,6,1,0.981209521898907
Case122_6,0,6,0,0.9999913218993829
Case124_6,0,6,0,0.9996843613971695
Case12_6,0,6,0,1.0
Case135_6,1,6,1,0.9999999402205351
Case13_6,0,6,0,1.0
Case145_6,0,6,0,1.0
Case163_6,1,6,1,1.0
Case174_6,1,6,0,0.9999999999956799
Case17_6,1,6,1,1.0
Case185_6,0,6,0,0.9999999999773763
Case195_6,0,6,0,1.0
Case19_6,1,6,0,0.9384116282000111
Case206_6,1,6,0,0.9999999993769961
Case208_6,1,6,1,0.9999999998003943
Case211_6,0,6,0,1.0
Case231_6,1,6,1,1.0
Case239_6,0,6,0,0.9999999954680874
Case248_6,1,6,0,0.9999999825602687
Case249_6,1,6,0,0.9999999998362057
Case252_6,0,6,0,0.9999999996746283
Case254_6,0,6,0,1.0
Case257_6,1,6,0,0.9985980784218957
Case259_6,1,6,1,1.0
Case25_6,1,6,1,0.9999191665242061
Case263_6,0,6,0,1.0
Case267_6,1,6,1,1.0
Case268_6,1,6,0,0.9999999998201048
Case274_6,0,6,0,1.0
Case277_6,1,6,0,1.0
Case29_6,1,6,1,0.9999999999964757
Case30_6,0,6,0,0.9999999999610623
Case33_6,1,6,0,0.9999107673319705
Case39_6,0,6,0,0.9981278516180316
Case41_6,0,6,0,1.0
Case47_6,0,6,0,1.0
Case4_6,0,6,0,0.9999593317443108
Case58_6,0,6,0,0.9999999999999716
Case64_6,0,6,0,1.0
Case72_6,0,6,0,1.0
Case78_6,1,6,1,0.9973482033410427
Case7_6,0,6,1,0.9999999822845497
Case86_6,0,6,0,1.0
Case90_6,0,6,0,1.0
