Case ID,Actual,Prefix Length,Prediction,Prediction Probability
Case102_11,1,11,1,1.0
Case10_11,1,11,1,1.0
Case111_11,1,11,1,1.0
Case119_11,0,11,1,1.0
Case11_11,1,11,1,1.0
Case122_11,0,11,0,1.0
Case135_11,1,11,1,1.0
Case155_11,0,11,0,1.0
Case178_11,0,11,0,1.0
Case187_11,1,11,1,1.0
Case18_11,1,11,1,1.0
Case194_11,1,11,1,1.0
Case195_11,0,11,0,1.0
Case19_11,1,11,0,1.0
Case201_11,1,11,1,1.0
Case210_11,0,11,0,1.0
Case215_11,0,11,0,1.0
Case223_11,0,11,0,1.0
Case225_11,1,11,1,1.0
Case235_11,1,11,1,1.0
Case248_11,1,11,0,1.0
Case250_11,0,11,0,1.0
Case251_11,0,11,0,1.0
Case252_11,0,11,0,1.0
Case256_11,1,11,1,1.0
Case259_11,1,11,1,1.0
Case263_11,0,11,0,1.0
Case264_11,1,11,1,1.0
Case266_11,1,11,1,1.0
Case267_11,1,11,1,1.0
Case269_11,0,11,0,1.0
Case273_11,0,11,0,1.0
Case277_11,1,11,1,1.0
Case28_11,1,11,1,1.0
Case34_11,0,11,0,1.0
Case38_11,1,11,1,1.0
Case39_11,0,11,0,1.0
Case3_11,0,11,0,1.0
Case40_11,0,11,0,1.0
Case41_11,0,11,0,1.0
Case43_11,0,11,0,1.0
Case44_11,1,11,1,1.0
Case46_11,0,11,0,1.0
Case6_11,1,11,1,1.0
Case75_11,1,11,0,1.0
Case84_11,0,11,0,1.0
Case89_11,0,11,0,1.0
Case90_11,0,11,0,1.0
Case95_11,1,11,1,1.0
Case9_11,0,11,0,1.0
