Case ID,Actual,Prefix Length,Prediction,Prediction Probability
Case101_13,0,13,0,0.7444382
Case10_13,1,13,1,0.9926563
Case111_13,1,13,1,0.7028277
Case115_13,1,13,1,0.9733532
Case11_13,1,13,1,0.9977564
Case12_13,0,13,0,0.9439013
Case135_13,1,13,1,0.97816646
Case178_13,0,13,0,0.93944746
Case17_13,1,13,1,0.9784735
Case187_13,1,13,1,0.99193585
Case192_13,0,13,0,0.8962371
Case195_13,0,13,0,0.91885984
Case210_13,0,13,0,0.78242856
Case21_13,1,13,1,0.94789135
Case223_13,0,13,0,0.9495969
Case225_13,1,13,1,0.9636204
Case240_13,1,13,1,0.94903773
Case249_13,1,13,1,0.9859713
Case250_13,0,13,0,0.9834529
Case251_13,0,13,0,0.99057704
Case256_13,1,13,1,0.99612033
Case257_13,1,13,1,0.9694975
Case258_13,1,13,1,0.98534554
Case259_13,1,13,1,0.96939296
Case25_13,1,13,1,0.96744096
Case260_13,1,13,1,0.9948409
Case263_13,0,13,0,0.94742495
Case265_13,0,13,0,0.9268859
Case266_13,1,13,1,0.9797561
Case269_13,0,13,0,0.9897688
Case273_13,0,13,0,0.97967285
Case274_13,0,13,0,0.9848064
Case277_13,1,13,1,0.9404953
Case27_13,0,13,0,0.99303126
Case28_13,1,13,1,0.9508527
Case34_13,0,13,0,0.9537065
Case38_13,1,13,1,0.95663905
Case39_13,0,13,0,0.9628465
Case3_13,0,13,0,0.90241945
Case41_13,0,13,0,0.88233083
Case55_13,1,13,1,0.98496115
Case60_13,0,13,0,0.70923996
Case61_13,1,13,1,0.9314924
Case67_13,0,13,0,0.9180293
Case75_13,1,13,1,0.8981637
Case78_13,1,13,1,0.976374
Case83_13,0,13,1,0.9830756
Case84_13,0,13,0,0.9754639
Case89_13,0,13,0,0.87318176
Case90_13,0,13,0,0.97976935
