Case ID,Actual,Prefix Length,Prediction,Prediction Probability
Case102_10,1,10,1,0.96038514
Case103_10,1,10,1,0.95996225
Case111_10,1,10,1,0.5077802
Case119_10,0,10,1,0.94656813
Case122_10,0,10,0,0.9575708
Case127_10,1,10,1,0.69695675
Case12_10,0,10,0,0.8509407
Case155_10,0,10,0,0.96463394
Case17_10,1,10,1,0.96059453
Case188_10,1,10,1,0.74757874
Case192_10,0,10,0,0.61156076
Case195_10,0,10,0,0.88912696
Case201_10,1,10,1,0.8451524
Case206_10,1,10,1,0.7191327
Case209_10,0,10,0,0.99752766
Case210_10,0,10,0,0.6982398
Case223_10,0,10,0,0.62978125
Case225_10,1,10,1,0.91532564
Case235_10,1,10,1,0.9234187
Case238_10,1,10,1,0.99762625
Case239_10,0,10,0,0.9709173
Case240_10,1,10,1,0.88519746
Case245_10,1,10,1,0.9648102
Case248_10,1,10,1,0.9727684
Case249_10,1,10,1,0.7006711
Case250_10,0,10,0,0.9838309
Case252_10,0,10,0,0.9681962
Case256_10,1,10,1,0.7628078
Case257_10,1,10,1,0.98485065
Case258_10,1,10,1,0.9143496
Case261_10,0,10,0,0.7842558
Case263_10,0,10,0,0.98503155
Case264_10,1,10,1,0.77433485
Case266_10,1,10,1,0.9237853
Case267_10,1,10,1,0.9309872
Case269_10,0,10,0,0.89905393
Case32_10,1,10,1,0.98010194
Case34_10,0,10,0,0.8681485
Case37_10,1,10,1,0.96138865
Case41_10,0,10,0,0.9038032
Case46_10,0,10,0,0.989018
Case4_10,0,10,1,0.94141066
Case60_10,0,10,0,0.98919684
Case67_10,0,10,0,0.7731832
Case72_10,0,10,0,0.96812975
Case75_10,1,10,1,0.8520559
Case84_10,0,10,0,0.98215437
Case90_10,0,10,0,0.86833024
Case95_10,1,10,1,0.9786773
Case9_10,0,10,0,0.9107275
