Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability
Case101_8;0;8;0;0.87142605;1.0;0.9999999999989234;0.9999999999989234;1.0;0.9750961489341085;0.9750961489341085;;1.0;1.0;1.0;1.0;1.0
Case102_4;1;4;1;0.99424285;1.0;0.9999999999991518;0.9999999999991518;1.0;0.9758759405151628;0.9758759405151628;;1.0;1.0;;1.0;1.0
Case103_9;1;9;1;0.99399155;1.0;0.9999999999989236;0.9999999999989236;1.0;0.9721347583188156;0.9721347583188156;1.0;1.0;1.0;1.0;1.0;1.0
Case109;1;1;1;0.95602095;1.0;0.9999999999989287;0.9999999999989287;1.0;0.9630957464870074;0.9630957464870074;;1.0;1.0;1.0;1.0;1.0
Case110_7;1;7;1;0.9973367;1.0;0.9999999999989232;0.9999999999989232;1.0;0.948094063163406;0.948094063163406;1.0;1.0;1.0;;1.0;1.0
Case115_11;1;11;1;0.9981116;1.0;0.9999999999989778;0.9999999999989778;1.0;0.9587526602879402;0.9587526602879402;;1.0;1.0;;1.0;1.0
Case115_7;1;7;1;0.99929905;1.0;0.9999999999989774;0.9999999999989774;1.0;0.9468959155324296;0.9468959155324296;1.0;1.0;1.0;;1.0;1.0
Case116_2;1;2;1;0.9986939;1.0;0.9999999999989744;0.9999999999989744;1.0;0.9710345628932564;0.9710345628932564;;1.0;1.0;;1.0;1.0
Case122_10;0;10;0;0.99980736;1.0;0.9999999999989774;0.9999999999989774;1.0;0.97430806080513;0.97430806080513;1.0;1.0;1.0;;1.0;1.0
Case122_9;0;9;0;0.99985385;1.0;0.9999999999989774;0.9999999999989774;1.0;0.9658218291579452;0.9658218291579452;1.0;1.0;1.0;;1.0;1.0
Case123_3;1;3;1;0.81376565;1.0;0.9999999999991545;0.9999999999991545;1.0;0.9356290630788952;0.9356290630788952;;1.0;1.0;1.0;1.0;1.0
Case123_6;1;6;1;0.9983303;1.0;0.9999999999991542;0.9999999999991542;0.9078699078699078;0.9783021444011994;0.9783021444011994;;1.0;1.0;;1.0;1.0
Case124_6;0;6;0;0.9309881;1.0;0.9999999999989784;0.9999999999989784;1.0;0.9653766197548004;0.9653766197548004;;1.0;1.0;1.0;1.0;1.0
Case124_7;0;7;0;0.9882324;1.0;0.9999999999989784;0.9999999999989784;1.0;0.9708939416376774;0.9708939416376774;1.0;1.0;1.0;1.0;1.0;1.0
Case124_8;0;8;0;0.99722457;1.0;0.9999999999989784;0.9999999999989784;1.0;0.9470926382944784;0.9470926382944784;1.0;1.0;1.0;1.0;1.0;1.0
Case125_5;0;5;1;0.9198719999999999;1.0;0.9999999999989287;0.9999999999989287;1.0;0.9506155426411036;0.9506155426411036;;1.0;1.0;1.0;1.0;1.0
Case127_10;1;10;1;0.9975769;1.0;0.9999999999991523;0.9999999999991523;1.0;0.9677863892342438;0.9677863892342438;1.0;1.0;1.0;;1.0;1.0
Case12_10;0;10;0;0.9942943999999999;1.0;0.9999999999991998;0.9999999999991998;1.0;0.9548190814121305;0.9548190814121305;;1.0;1.0;;1.0;1.0
Case12_14;0;14;0;0.9903812;1.0;0.9999999999991998;0.9999999999991998;1.0;0.9720976648659372;0.9720976648659372;;1.0;1.0;1.0;1.0;1.0
Case12_7;0;7;0;0.9960091999999999;1.0;0.9999999999991048;0.9999999999991048;1.0;0.9666858009894688;0.9666858009894688;;1.0;1.0;;1.0;1.0
Case12_8;0;8;0;0.99038154;1.0;0.9999999999991528;0.9999999999991528;0.7838916854712723;0.9765072586314092;0.9765072586314092;;1.0;1.0;;1.0;1.0
Case12_9;0;9;0;0.9884492;1.0;0.9999999999991528;0.9999999999991528;0.7838916854712723;0.9832870339195899;0.9832870339195899;;1.0;1.0;;1.0;1.0
Case134_4;0;4;1;0.55608183;1.0;0.9999999999989287;0.9999999999989287;1.0;0.968762476217464;0.968762476217464;;1.0;1.0;1.0;1.0;1.0
Case135_14;1;14;1;0.99575126;1.0;0.999999999999102;0.999999999999102;1.0;0.9705461314738828;0.9705461314738828;1.0;1.0;1.0;;1.0;1.0
Case145;0;1;0;0.98114014;1.0;0.9999999999989287;0.9999999999989287;1.0;0.9704606907543656;0.9704606907543656;;1.0;1.0;;1.0;1.0
Case155_4;0;4;0;0.9957383;1.0;0.9999999999989287;0.9999999999989287;1.0;0.9636789214509986;0.9636789214509986;;1.0;1.0;1.0;1.0;1.0
Case179_4;1;4;1;0.98327523;1.0;0.9999999999991492;0.9999999999991492;1.0;0.8441770399435465;0.8441770399435465;;1.0;1.0;;1.0;1.0
Case179_6;1;6;1;0.9911559999999999;1.0;0.9999999999991492;0.9999999999991492;1.0;0.9827410898846154;0.9827410898846154;;1.0;1.0;;1.0;1.0
Case17_6;1;6;1;0.9984016;1.0;0.9999999999989744;0.9999999999989744;1.0;0.9782736461645826;0.9782736461645826;;1.0;1.0;;1.0;1.0
Case185_2;0;2;0;0.96001685;1.0;0.999999999999132;0.999999999999132;0.8731662591687042;0.9449018377678836;0.9449018377678836;;1.0;1.0;1.0;1.0;1.0
Case187_13;1;13;1;0.9917256999999999;1.0;0.9999999999991545;0.9999999999991545;0.9078699078699078;0.9682420243098778;0.9682420243098778;1.0;1.0;1.0;;1.0;1.0
Case188_11;1;11;1;0.9915053;1.0;0.9999999999989738;0.9999999999989738;0.8437058657376895;0.9505877971779602;0.9505877971779602;1.0;1.0;1.0;1.0;1.0;1.0
Case188_12;1;12;1;0.99153566;1.0;0.9999999999989738;0.9999999999989738;0.9273459383753502;0.976052703248479;0.976052703248479;1.0;1.0;1.0;;1.0;1.0
Case188_14;1;14;1;0.98846555;1.0;0.9999999999989738;0.9999999999989738;1.0;0.971429609556202;0.971429609556202;1.0;1.0;1.0;;1.0;1.0
Case194_7;1;7;1;0.99973005;1.0;0.9999999999989728;0.9999999999989728;1.0;0.9826065236164072;0.9826065236164072;;1.0;1.0;1.0;1.0;1.0
Case195_13;0;13;0;0.99184525;1.0;0.9999999999989724;0.9999999999989724;1.0;0.9713320673817374;0.9713320673817374;;1.0;1.0;;1.0;1.0
Case19_11;1;11;1;0.99798536;1.0;0.9999999999991284;0.9999999999991284;0.9078699078699078;0.9680145447646026;0.9680145447646026;;1.0;1.0;;1.0;1.0
Case19_5;1;5;1;0.99426657;1.0;0.9999999999991284;0.9999999999991284;0.9078699078699078;0.9809948141593888;0.9809948141593888;;1.0;1.0;1.0;1.0;1.0
Case208_8;1;8;1;0.99936086;1.0;0.9999999999991139;0.9999999999991139;0.9362714987714988;0.9754857711854176;0.9754857711854176;;1.0;1.0;;1.0;1.0
Case209_12;0;12;0;0.94651616;1.0;0.9999999999989728;0.9999999999989728;1.0;0.9529139815519816;0.9529139815519816;;1.0;1.0;1.0;1.0;1.0
Case20_9;1;9;1;0.9994708000000001;1.0;0.999999999999102;0.999999999999102;1.0;0.9465735971023892;0.9465735971023892;1.0;1.0;1.0;;1.0;1.0
Case215_12;0;12;0;0.98734653;1.0;0.9999999999989184;0.9999999999989184;1.0;0.981644702664886;0.981644702664886;;1.0;1.0;1.0;1.0;1.0
Case215_9;0;9;0;0.99722546;1.0;0.9999999999989314;0.9999999999989314;1.0;0.9797604829351412;0.9797604829351412;;1.0;1.0;1.0;1.0;1.0
Case218_7;0;7;0;0.9927860000000001;1.0;0.999999999998918;0.999999999998918;1.0;0.9725060505249128;0.9725060505249128;;1.0;1.0;1.0;1.0;1.0
Case21_5;1;5;1;0.9992488000000002;1.0;0.9999999999989287;0.9999999999989287;1.0;0.9768105083495784;0.9768105083495784;1.0;1.0;1.0;;1.0;1.0
Case223_11;0;11;0;0.99138105;1.0;0.9999999999989744;0.9999999999989744;1.0;0.9609929417900585;0.9609929417900585;;1.0;1.0;1.0;1.0;1.0
Case225_8;1;8;1;0.99970835;1.0;0.9999999999991512;0.9999999999991512;1.0;0.9783739764513878;0.9783739764513878;1.0;1.0;1.0;;1.0;1.0
Case230_3;1;3;1;0.99872786;1.0;0.9999999999991522;0.9999999999991522;1.0;0.9859880763838696;0.9859880763838696;1.0;1.0;1.0;;1.0;1.0
Case235_10;1;10;1;0.99976426;1.0;0.999999999999018;0.999999999999018;1.0;0.9445721649950224;0.9445721649950224;1.0;1.0;1.0;1.0;1.0;1.0
Case235_13;1;13;1;0.9995049000000001;1.0;0.999999999999018;0.999999999999018;1.0;0.9673856703106688;0.9673856703106688;1.0;1.0;1.0;1.0;1.0;1.0
Case235_3;1;3;1;0.9636798000000001;1.0;0.9999999999989744;0.9999999999989744;1.0;0.9835376225150052;0.9835376225150052;;1.0;1.0;1.0;1.0;1.0
Case235_8;1;8;1;0.9793162000000001;1.0;0.999999999999018;0.999999999999018;1.0;0.9677956435796988;0.9677956435796988;;1.0;1.0;1.0;1.0;1.0
Case239_5;0;5;0;0.9801462;1.0;0.9999999999989748;0.9999999999989748;1.0;0.9726852481576634;0.9726852481576634;;1.0;1.0;1.0;1.0;1.0
Case240_12;1;12;1;0.9946543;1.0;0.9999999999991536;0.9999999999991536;1.0;0.973811772415308;0.973811772415308;1.0;1.0;1.0;;1.0;1.0
Case249_12;1;12;1;0.993986;1.0;0.9999999999989764;0.9999999999989764;1.0;0.9730958827053402;0.9730958827053402;;1.0;1.0;1.0;1.0;1.0
Case250_14;0;14;0;0.98643017;1.0;0.9999999999990228;0.9999999999990228;0.8321197411003236;0.6567693425102159;0.6567693425102159;;1.0;1.0;1.0;1.0;1.0
Case251;0;1;0;0.96002626;1.0;0.9999999999991536;0.9999999999991536;0.8731662591687042;0.9108787190888812;0.9108787190888812;;1.0;1.0;1.0;1.0;1.0
Case251_12;0;12;0;0.99606484;1.0;0.9999999999991488;0.9999999999991488;0.8876708620922994;0.9784331185073006;0.9784331185073006;;1.0;1.0;1.0;1.0;1.0
Case251_14;0;14;0;0.99394405;1.0;0.999999999999197;0.999999999999197;0.8731662591687042;0.9824885381372104;0.9824885381372104;;1.0;1.0;1.0;1.0;1.0
Case252;0;1;0;0.9072033000000002;1.0;0.9999999999989748;0.9999999999989748;1.0;0.859106447029314;0.859106447029314;;1.0;1.0;1.0;1.0;1.0
Case254_2;0;2;0;0.9827084;1.0;0.9999999999991516;0.9999999999991516;0.8321197411003236;0.9695094575858616;0.9695094575858616;;1.0;1.0;1.0;1.0;1.0
Case256_12;1;12;1;0.9992709999999999;1.0;0.9999999999989267;0.9999999999989267;1.0;0.9709215405270846;0.9709215405270846;1.0;1.0;1.0;;1.0;1.0
Case256_14;1;14;1;0.99974614;1.0;0.9999999999989296;0.9999999999989296;1.0;0.9443524700452294;0.9443524700452294;1.0;1.0;1.0;;1.0;1.0
Case257_10;1;10;1;0.9994154000000001;1.0;0.9999999999991536;0.9999999999991536;1.0;0.9290872945796492;0.9290872945796492;1.0;1.0;1.0;;1.0;1.0
Case259_13;1;13;1;0.99770063;1.0;0.9999999999990988;0.9999999999990988;1.0;0.9457881419304314;0.9457881419304314;1.0;1.0;1.0;1.0;1.0;1.0
Case259_3;1;3;1;0.998591;1.0;0.9999999999989744;0.9999999999989744;1.0;0.9619997654050778;0.9619997654050778;1.0;1.0;1.0;;1.0;1.0
Case25_14;1;14;1;0.9952064;1.0;0.9999999999989722;0.9999999999989722;1.0;0.9706594163401702;0.9706594163401702;;1.0;1.0;1.0;1.0;1.0
Case25_9;1;9;1;0.9923504999999999;1.0;0.9999999999989774;0.9999999999989774;1.0;0.9428080429080179;0.9428080429080179;;1.0;1.0;1.0;1.0;1.0
Case260_2;1;2;1;0.98569435;1.0;0.9999999999989748;0.9999999999989748;1.0;0.896397315589075;0.896397315589075;1.0;1.0;1.0;;1.0;1.0
Case262;1;1;1;0.9577593000000001;1.0;0.9999999999991518;0.9999999999991518;1.0;0.9530030373443752;0.9530030373443752;;1.0;1.0;1.0;1.0;1.0
Case263_4;0;4;0;0.9996333000000001;1.0;0.9999999999989744;0.9999999999989744;1.0;0.9695092096096528;0.9695092096096528;1.0;1.0;1.0;1.0;1.0;1.0
Case265_11;0;11;0;0.9946536;1.0;0.9999999999989674;0.9999999999989674;1.0;0.8916583623622094;0.8916583623622094;1.0;1.0;1.0;1.0;1.0;1.0
Case265_8;0;8;0;0.9952235999999999;1.0;0.9999999999989744;0.9999999999989744;1.0;0.9568745652057472;0.9568745652057472;1.0;1.0;1.0;1.0;1.0;1.0
Case269_11;0;11;0;0.99817127;1.0;0.9999999999990108;0.9999999999990108;1.0;0.9555827026735568;0.9555827026735568;1.0;1.0;1.0;1.0;1.0;1.0
Case269_12;0;12;0;0.99807906;1.0;0.9999999999990076;0.9999999999990076;1.0;0.974193550264452;0.974193550264452;1.0;1.0;1.0;1.0;1.0;1.0
Case273_4;0;4;0;0.9859975000000001;1.0;0.9999999999991518;0.9999999999991518;1.0;0.9500960448800772;0.9500960448800772;1.0;1.0;1.0;1.0;1.0;1.0
Case273_6;0;6;0;0.9998809000000001;1.0;0.9999999999991516;0.9999999999991516;1.0;0.9643643580231884;0.9643643580231884;1.0;1.0;1.0;;1.0;1.0
Case274_7;0;7;0;0.99930894;1.0;0.9999999999991518;0.9999999999991518;1.0;0.9648538536503938;0.9648538536503938;1.0;1.0;1.0;1.0;1.0;1.0
Case27_2;0;2;0;0.99729383;1.0;0.9999999999989748;0.9999999999989748;1.0;0.9288451558143476;0.9288451558143476;;1.0;1.0;1.0;1.0;1.0
Case27_5;0;5;0;0.99604356;1.0;0.9999999999989736;0.9999999999989736;1.0;0.9684487674833474;0.9684487674833474;;1.0;1.0;1.0;1.0;1.0
Case28_9;1;9;1;0.9980617;1.0;0.9999999999990206;0.9999999999990206;1.0;0.9632205334520596;0.9632205334520596;1.0;1.0;1.0;;1.0;1.0
Case29_5;1;5;1;0.9971059000000001;1.0;0.9999999999991545;0.9999999999991545;0.8827793993032671;0.8866414687735554;0.8866414687735554;;1.0;1.0;1.0;1.0;1.0
Case30_6;0;6;0;0.9842178;1.0;0.9999999999991545;0.9999999999991545;1.0;0.9768763115775724;0.9768763115775724;;1.0;1.0;1.0;1.0;1.0
Case31_4;1;4;1;0.98403686;1.0;0.999999999999132;0.999999999999132;0.9078699078699078;0.9719208790726056;0.9719208790726056;;1.0;1.0;1.0;1.0;1.0
Case34_13;0;13;0;0.9987328999999999;1.0;0.9999999999989774;0.9999999999989774;1.0;0.8820649569462866;0.8820649569462866;;1.0;1.0;1.0;1.0;1.0
Case34_2;0;2;0;0.99636227;1.0;0.9999999999989287;0.9999999999989287;1.0;0.9662387728840872;0.9662387728840872;;1.0;1.0;1.0;1.0;1.0
Case38_13;1;13;1;0.9867073000000001;1.0;0.9999999999991512;0.9999999999991512;0.7820378151260504;0.9533434371161243;0.9533434371161243;;1.0;1.0;1.0;1.0;1.0
Case39_13;0;13;0;0.9996735999999999;1.0;0.9999999999991994;0.9999999999991994;0.7696747696747697;0.9360355794950294;0.9360355794950294;1.0;1.0;1.0;1.0;0.9999999999999999;0.9999999999999999
Case3_10;0;10;0;0.99631095;1.0;0.9999999999991478;0.9999999999991478;0.9078699078699078;0.9576616752450301;0.9576616752450301;1.0;1.0;1.0;1.0;1.0;1.0
Case41_9;0;9;0;0.99716914;1.0;0.9999999999991516;0.9999999999991516;1.0;0.9697302283957384;0.9697302283957384;1.0;1.0;1.0;1.0;1.0;1.0
Case44_4;1;4;1;0.9997446;1.0;0.9999999999989744;0.9999999999989744;1.0;0.9709953854213564;0.9709953854213564;1.0;1.0;1.0;;1.0;1.0
Case52;0;1;0;0.9803127;1.0;0.9999999999989287;0.9999999999989287;1.0;0.9769493975703364;0.9769493975703364;;1.0;1.0;;1.0;1.0
Case58_3;0;3;0;0.9891509;1.0;0.9999999999989287;0.9999999999989287;1.0;0.9552903854652872;0.9552903854652872;;1.0;1.0;1.0;1.0;1.0
Case58_6;0;6;0;0.97411406;1.0;0.9999999999989252;0.9999999999989252;1.0;0.9820675254832028;0.9820675254832028;;1.0;1.0;1.0;1.0;1.0
Case67_13;0;13;0;0.98504007;1.0;0.9999999999991404;0.9999999999991404;0.9099196874321684;0.9634834704764352;0.9634834704764352;;1.0;1.0;1.0;1.0;1.0
Case6_11;1;11;1;0.9995383;1.0;0.9999999999989236;0.9999999999989236;1.0;0.8676088340398174;0.8676088340398174;1.0;1.0;1.0;1.0;1.0;1.0
Case72_5;0;5;0;0.99683565;1.0;0.9999999999991518;0.9999999999991518;1.0;0.9771778823377344;0.9771778823377344;;1.0;1.0;1.0;1.0;1.0
Case77_2;1;2;1;0.9864786;1.0;0.9999999999989744;0.9999999999989744;1.0;0.9359135850930737;0.9359135850930737;;1.0;1.0;1.0;1.0;1.0
Case78_10;1;10;1;0.99566096;1.0;0.9999999999991536;0.9999999999991536;1.0;0.955654866705443;0.955654866705443;1.0;1.0;1.0;;1.0;1.0
Case78_5;1;5;1;0.9937;1.0;0.9999999999991545;0.9999999999991545;0.8827793993032671;0.9774936087448928;0.9774936087448928;1.0;1.0;1.0;;1.0;1.0
Case83_11;0;11;0;0.5530243;1.0;0.9999999999989774;0.9999999999989774;1.0;0.9728358856324028;0.9728358856324028;;1.0;1.0;1.0;1.0;1.0
Case87;1;1;1;0.981615;1.0;0.9999999999989287;0.9999999999989287;0.9078699078699078;0.9524648419939648;0.9524648419939648;1.0;1.0;1.0;1.0;1.0;1.0
Case90_10;0;10;0;0.9905386999999999;1.0;0.9999999999991516;0.9999999999991516;1.0;0.9583199990579448;0.9583199990579448;;1.0;1.0;1.0;1.0;1.0
Case90_14;0;14;0;0.9991453000000001;1.0;0.9999999999991545;0.9999999999991545;1.0;0.9669987649846984;0.9669987649846984;;1.0;1.0;1.0;1.0;1.0
Case91_7;1;7;1;0.9998826999999999;1.0;0.9999999999989744;0.9999999999989744;1.0;0.5507872777201803;0.5507872777201803;1.0;1.0;1.0;;1.0;1.0
Case92_2;1;2;1;0.98535097;1.0;0.9999999999989748;0.9999999999989748;1.0;0.9122132861420588;0.9122132861420588;;1.0;1.0;1.0;1.0;1.0
Case93_6;1;6;1;0.98485583;1.0;0.9999999999989744;0.9999999999989744;1.0;0.955380529699826;0.955380529699826;;1.0;1.0;1.0;1.0;1.0
Case95;1;1;1;0.99654084;1.0;0.9999999999989744;0.9999999999989744;1.0;0.9564020406072968;0.9564020406072968;1.0;1.0;1.0;;1.0;1.0
Case95_8;1;8;1;0.99946874;1.0;0.999999999998977;0.999999999998977;1.0;0.9764608866312864;0.9764608866312864;1.0;1.0;1.0;;1.0;1.0
Case98_3;0;3;0;0.7662014;1.0;0.9999999999989784;0.9999999999989784;1.0;0.9819282208450272;0.9819282208450272;;1.0;1.0;1.0;1.0;1.0
Case99_3;0;3;1;0.7955414000000001;1.0;0.9999999999989736;0.9999999999989736;1.0;0.9783504291975078;0.9783504291975078;1.0;1.0;1.0;1.0;1.0;1.0
Case9_3;0;3;0;0.9916626000000001;1.0;0.9999999999991518;0.9999999999991518;0.8321197411003236;0.9825476979796222;0.9825476979796222;;1.0;1.0;1.0;1.0;1.0
